Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Tot_No_Bedrooms,Max_Age,Closest_city
452600.0,8.3252,41.0,880.0,129.0,322.0,126.0,37.88,-122.23,9263.04077285038,751.0,50.0,SanFrancisco
358500.0,8.3014,21.0,7099.0,1106.0,2401.0,1138.0,37.86,-122.22,10225.7330715424,5993.0,34.0,SanFrancisco
352100.0,7.2574,52.0,1467.0,190.0,496.0,177.0,37.85,-122.24,8259.08510932293,1277.0,66.0,SanFrancisco
341300.0,5.6431,52.0,1274.0,235.0,558.0,219.0,37.85,-122.25,7768.0865708364,1039.0,63.0,SanFrancisco
342200.0,3.8462,52.0,1627.0,280.0,565.0,259.0,37.85,-122.25,7768.0865708364,1347.0,68.0,SanFrancisco
269700.0,4.0368,52.0,919.0,213.0,413.0,193.0,37.85,-122.25,7768.0865708364,706.0,69.0,SanFrancisco
299200.0,3.6591,52.0,2535.0,489.0,1094.0,514.0,37.84,-122.25,6843.02084737498,2046.0,65.0,SanFrancisco
241400.0,3.12,52.0,3104.0,687.0,1157.0,647.0,37.84,-122.25,6843.02084737498,2417.0,67.0,SanFrancisco
226700.0,2.0804,42.0,2555.0,665.0,1206.0,595.0,37.84,-122.26,6363.94801261769,1890.0,56.0,SanFrancisco
261100.0,3.6912,52.0,3549.0,707.0,1551.0,714.0,37.84,-122.25,6843.02084737498,2842.0,69.0,SanFrancisco
281500.0,3.2031,52.0,2202.0,434.0,910.0,402.0,37.85,-122.26,7349.62084160981,1768.0,68.0,SanFrancisco
241800.0,3.2705,52.0,3503.0,752.0,1504.0,734.0,37.85,-122.26,7349.62084160981,2751.0,62.0,SanFrancisco
213500.0,3.075,52.0,2491.0,474.0,1098.0,468.0,37.85,-122.26,7349.62084160981,2017.0,67.0,SanFrancisco
191300.0,2.6736,52.0,696.0,191.0,345.0,174.0,37.84,-122.26,6363.94801261769,505.0,68.0,SanFrancisco
159200.0,1.9167,52.0,2643.0,626.0,1212.0,620.0,37.85,-122.26,7349.62084160981,2017.0,65.0,SanFrancisco
140000.0,2.125,50.0,1120.0,283.0,697.0,264.0,37.85,-122.26,7349.62084160981,837.0,64.0,SanFrancisco
152500.0,2.775,52.0,1966.0,347.0,793.0,331.0,37.85,-122.27,7016.67724394864,1619.0,64.0,SanFrancisco
155500.0,2.1202,52.0,1228.0,293.0,648.0,303.0,37.85,-122.27,7016.67724394864,935.0,68.0,SanFrancisco
